ID,Offset,DST Diff,DST Rule,Name,Country,City,Longitude,Latitude
0,0,0,0,(UTC),,(UTC),0,0
1,0,1,0,ABIDJAN,Cote d'lvoire,Abidjan,-4.02775,5.33632
2,4,1,0,ABU DHABI,United Arab Emirates,Abu Dhabi,54.36667,24.46667
3,0,1,0,ACCRA,Ghana,Accra,-0.19631,5.55572
4,3,1,0,ADDIS ABABA,Ethiopia,Addis Ababa,38.7468,9.02274
5,9.5,1,4,ADELAIDE,Australia,Adelaide,138.59996,-34.92862
6,1,1,0,ALGIERS,Algeria,Algiers,3.05861,36.77639
7,5,1,0,ALMATY,Kazakhstan,Almaty,76.91263,43.25506
8,9,1,0,AMBON,Indonesia,Ambon,128.18213,-3.69472
9,3,1,0,AMMAN,Jordan,Amman,35.9325,31.95667
10,1,1,2,AMSTERDAM,Netherlands,Amsterdam,4.89517,52.37022
11,12,1,0,ANADYR,Russia,Anadyr,177.5,64.73333
12,-9,1,1,ANCHORAGE,United States,Anchorage,-149.90028,61.21806
13,3,1,0,ANKARA,Turkey,Ankara,32.85411,39.92077
14,3,1,0,ANTANANARIVO,Madagascar,Antananarivo,47.53161,-18.91487
15,5,1,0,ASHGABAT,Turkmenistan,Ashgabat,58.39154,37.94143
16,3,1,0,ASMARA,Eritrea,Asmara,38.92617,15.33236
17,5,1,0,ASTANA,Kazakhstan,Astana,71.43333,51.16667
18,-4,1,9,ASUNCION,Paraguay,Asuncion,-57.6351,-25.2822
19,2,1,2,ATHENS,Greece,Athens,23.72931,37.98372
20,-5,1,1,ATLANTA,United States,Atlanta,-84.38798,33.749
21,12,1,5,AUCKLAND,New Zealand,Auckland,174.76333,-36.84846
22,-6,1,1,AUSTIN,United States,Austin,-97.74306,30.26715
23,3,1,0,BAGHDAD,Iraq,Baghdad,44.422,33.325
24,4,1,0,BAKU,Azerbaijan,Baku,49.86762,40.43495
25,-5,1,1,BALTIMORE,United States,Baltimore,-76.61219,39.29038
26,0,1,0,BAMAKO,Mali,Bamako,-8,12.65
27,5.5,1,0,BANGALORE,India,Bangalore,77.59456,12.9716
28,7,1,0,BANGKOK,Thailand,Bangkok,100.47623,13.72342
29,1,1,0,BANGUI,Central African Republic,Bangui,18.55598,4.3617
30,1,1,2,BARCELONA,Spain,Barcelona,2.1734,41.38506
31,1,1,2,BARI,Italy,Bari,16.87187,41.11714
32,-4,1,0,BASSE-TERRE,Guadeloupe,Basse-Terre,-61.72566,15.99879
33,8,1,0,BEIJING,China,Beijing,116.40753,39.90403
34,2,1,12,BEIRUT,Lebanon,Beirut,35.49548,33.88863
35,1,1,2,BELGRADE,Serbia,Belgrade,20.46222,44.82056
36,-6,1,0,BELIZE CITY,Belize,Belize City,-88.18665,17.49771
37,1,1,2,BERLIN,Germany,Berlin,13.40495,52.52001
38,1,1,2,BERN,Switzerland,Bern,7.44461,46.94792
39,6,1,0,BISHKEK,Kyegyzstan,Bishkek,74.58788,42.87002
40,0,1,0,BISSAU,Guinea Bissau,Bissau,-15.6,11.86667
41,-5,1,0,BOGOTA,Colombia,Bogota,-74.07583,4.59806
42,1,1,2,BOLOGNA,Italy,Bologna,11.34262,44.49489
43,-5,1,1,BOSTON,United States,Boston,-71.05977,42.35843
44,-3,1,0,BRASILIA,Brazil,Brasilia,-47.89775,-15.79211
45,1,1,2,BRATISLAVA,Slovakia,Bratislava,17.10714,48.14589
46,-4,1,0,BRIDGETOWN,Barbados,Bridgetown,-59.61335,13.09894
47,10,1,0,BRISBANE,Australia,Brisbane,153.02345,-27.47101
48,1,1,2,BRUSSELS,Belgium,Brussels,4.35171,50.85034
49,2,1,2,BUCHAREST,Romania,Bucharest,26.10389,44.4325
50,1,1,2,BUDAPEST,Hungary,Budapest,19.04023,47.49791
51,-3,1,0,BUENOS AIRES,Argentina,Buenos Aires,-58.38159,-34.60372
52,2,1,22,CAIRO,Egypt,Cairo,31.23571,30.04442
53,-7,1,1,CALGARY,Canada,Calgary,-114.0581,51.04532
54,10,1,4,CANBERRA,Australia,Canberra,149.12868,-35.282
55,2,1,0,CAPE TOWN,South Africa,Cape Town,18.42406,-33.92487
56,-4,1,0,CARACAS,Venezuela,Caracas,-66.90206,10.49102
57,0,1,2,CARDIFF,Wales,Cardiff,-3.17909,51.48158
58,0,1,15,CASABLANCA,Morocco,Casablanca,-7.58333,33.53333
59,1,1,2,CATANZARO,Italy,Catanzaro,16.58765,38.90979
60,-3,1,0,CAYENNE,French Guiana,Cayenne,-52.3269,4.9227
61,-5,1,1,CHARLOTTE,United States,Charlotte,-80.84313,35.22709
62,-4,1,0,CHARLOTTE AMALIE,US Virgin Islands,Charlotte Amalie,-64.9307,18.3419
63,12.75,1,23,CHATHAM ISLANDS,New Zealand,Chatham Islands,-176.55934,-43.95593
64,5,1,0,CHELYABINSK,Russia,Chelyabinsk,61.42668,55.17453
65,5.5,1,0,CHENNAI,India,Chennai,80.25082,13.05241
66,-6,1,1,CHICAGO,United States,Chicago,-87.6298,41.87811
67,-6,1,0,CHIHUAHUA,Mexico,Chihuahua,-106.08869,28.63551
68,2,1,2,CHISINAU,Moldova,Chisinau,28.84155,47.02686
69,9,1,0,CHITA,Russia,Chita,113.5,52.03333
70,-5,1,1,CLEVELAND,United States,Cleveland,-81.69541,41.4995
71,5.5,1,0,COLOMBO,Sri Lanka,Colombo,79.86124,6.92708
72,-5,1,1,COLUMBUS,United States,Columbus,-82.99879,39.96118
73,0,1,0,CONAKRY,Guinea,Conakry,-13.67847,9.53703
74,1,1,2,COPENHAGEN,Denmark,Copenhagen,12.56834,55.6761
75,0,1,2,CORK,Ireland,Cork,-8.48632,51.89689
76,1,1,2,CROTONE,Italy,Crotone,17.12711,39.08079
77,0,1,0,DAKAR,Senegal,Dakar,-17.36603,14.7645
78,-6,1,1,DALLAS,United States,Dallas,-96.80045,32.78014
79,3,1,0,DAMASCUS,Syria,Damascus,36.3064,33.5111
80,3,1,0,DAR ES SALAAM,Tanzania,Dar es Salaam,39.26966,-6.82292
81,9.5,1,0,DARWIN,Australia,Darwin,130.84178,-12.46283
82,5.5,1,0,DELHI,India,Delhi,77.22496,28.63531
83,8,1,0,DENPASAR,Indonesia,Denpasar,115.2221,-8.65629
84,-7,1,1,DENVER,United States,Denver,-104.98472,39.73757
85,-5,1,1,DETROIT,United States,Detroit,-83.05674,42.34539
86,6,1,0,DHAKA,Bangladesh,Dhaka,90.40714,23.70992
87,6,1,0,DIEGO GARCIA,UK,Diego Garcia,72.42286,-7.3195
88,3,1,0,DJIBOUTI,Djibouti,Djibouti,43.145,11.588
89,3,1,0,DOHA,Qatar,Doha,51.52248,25.28028
90,1,1,0,DOUALA,Cameroon,Douala,9.70637,4.04749
91,4,1,0,DUBAI,United Arab Emirates,Dubai,55.30749,25.27114
92,0,1,2,DUBLIN,Ireland,Dublin,-6.26031,53.34981
93,5,1,0,DUSHANBE,Tajikistan,Dushanbe,68.78,38.53667
94,-6,1,28,EASTER ISLAND,Chile,Easter Island,-109.41914,-27.14817
95,0,1,2,EDINBURGH,Scotland,Edinburgh,-3.18827,55.95325
96,-7,1,1,EDMONTON,Canada,Edmonton,-113.49093,53.54439
97,-7,1,1,EL PASO,United States,El Paso,-106.49681,31.76996
98,-2,1,0,FERNANDO DE NORONHA,Brazil,Fernando de Noronha,-32.41202,-3.8466
99,1,1,2,FLORENCE,Italy,Florence,11.248,43.77103
100,-4,1,0,FORT-DE-FRANCE,Martinique,Fort-de-France,-61.07256,14.60937
101,1,1,2,FRANKFURT,Germany,Frankfurt,8.68213,50.11092
102,0,1,0,FREETOWN,Sierra Leone,Freetown,-13.16912,8.44183
103,2,1,0,GABORONE,Botswana,Gaborone,25.90874,-24.65411
104,-6,1,0,GALAPAGOS ISLANDS,Ecuador,Galapagos Islands,-90.98207,-0.82928
105,1,1,2,GENEVA,Switzerland,Geneva,6.1423,46.19839
